Date,Opponent,##,Player Name,TOT-FG,3-PT,FT,OF,DE,TOT,PF,TP,A,TO,BLK,S,MIN
11/18/2020,Quarry Ridge,23,Wendell Lomax,,,,,,,,,,,,,DNP
11/18/2020,Quarry Ridge,,TEAM,,,,5,1,6,,,,1,,,
11/18/2020,Quarry Ridge,,Totals,23-55,4-26,15-28,20,14,34,22,64,19,19,11,8,200
11/20/2020,Granholm,35,Kwame Pilkington,6-7,1-6,1-6,1,4,5,5,14,1,6,2,2,32
11/20/2020,Granholm,45,Bo Janowski,3-12,0-2,0-1,2,7,9,0,6,4,4,2,2,27
11/20/2020,Granholm,55,Emeka Yeboah,8-13,1-1,3-3,1,7,8,5,20,3,1,1,1,30
11/20/2020,Granholm,10,Hollis Vantrease,3-6,2-3,3-4,1,3,4,1,11,6,2,1,2,26
11/20/2020,Granholm,42,Wendell Bramwell,3-12,1-10,0-0,4,2,6,5,7,1,3,2,2,40-
11/20/2020,Granholm,02,Nikola Tolliver,,,,,,,,,,,,,DNP
11/20/2020,Granholm,12,Zeke Whitlock,3-4,1-1,0-0,2,2,4,1,7,4,1,1,0,15
11/20/2020,Granholm,04,Solomon Stanhope,0-2,0-2,0-1,3,1,4,3,0,2,1,1,1,18
11/20/2020,Granholm,50,Emeka Kealoha,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
11/20/2020,Granholm,15,Kwame Hazlett,,,,,,,,,,,,,DNP
11/20/2020,Granholm,05,Ugo Zeller,4-5,2-3,0-0,1,2,3,1,10,2,0,1,1,13
11/20/2020,Granholm,,TEAM,,,,2,3,5,,,,0,,,
11/20/2020,Granholm,,Totals,30-61,8-28,7-15,17,31,48,21,75,23,18,11,11,200
11/23/2020,Marchfield,35,Kwame Pilkington,4-6,1-5,0-2,2,4,6,1,9,4,0,2,2,26
11/23/2020,Marchfield,45,Bo Janowski,2-8,1-5,1-1,1,2,3,2,6,2,3,0,0,19
11/23/2020,Marchfield,55,Emeka Yeboah,8-8,0-1,3-3,2,1,3,0,19,1,3,2,1,19
11/23/2020,Marchfield,10,Hollis Vantrease,3-11,0-1,0-1,1,5,6,2,6,0,3,1,2,22
11/23/2020,Marchfield,42,Wendell Bramwell,6-6,3-4,1-5,0,6,6,3,16,6,4,1,1,25
11/23/2020,Marchfield,02,Nikola Tolliver,2-5,0-1,0-0,0,2,2,2,4,2,0,1,1,11
11/23/2020,Marchfield,12,Zeke Whitlock,1-2,0-2,3-3,1,3,4,0,2,3,0,0,1,13
11/23/2020,Marchfield,04,Solomon Stanhope,0-2,0-2,1-1,0,1,1,1,1,0,0,1,0,12
11/23/2020,Marchfield,50,Emeka Kealoha,3-4,2-2,0-1,1,4,5,2,8,3,1,1,1,16
11/23/2020,Marchfield,15,Kwame Hazlett,5-5,1-1,2-3,2,3,5,1,13,1,2,1,0,14
11/23/2020,Marchfield,05,Ugo Zeller,1-2,0-1,0-0,1,2,3,1,2,1,1,0,1,7
11/23/2020,Marchfield,24,Bo Yeboah,3-3,2-2,0-3,1,1,2,3,8,3,2,1,1,15
11/23/2020,Marchfield,23,Wendell Lomax,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0+
11/23/2020,Marchfield,,TEAM,,,,4,1,5,,,,0,,,
11/23/2020,Marchfield,,Totals,38-62,10-27,11-23,16,35,51,18,94,26,19,11,11,200
11/27/2020,Langmere,35,Kwame Pilkington,6-6,1-2,0-1,1,5,6,3,13,3,4,0,1,26
11/27/2020,Langmere,45,Bo Janowski,4-6,2-3,2-3,0,2,2,2,12,4,3,2,0,18
11/27/2020,Langmere,55,Emeka Yeboah,3-10,0-2,1-3,2,1,3,0,7,1,1,1,0,20
11/27/2020,Langmere,10,Hollis Vantrease,2-6,2-5,0-1,2,2,4,1,6,0,3,2,2,20
11/27/2020,Langmere,42,Wendell Bramwell,6-8,3-3,2-5,3,4,7,1,17,3,4,0,1,24
11/27/2020,Langmere,02,Nikola Tolliver,2-2,0-2,0-1,0,1,1,1,4,1,1,1,1,10
11/27/2020,Langmere,12,Zeke Whitlock,1-2,1-2,0-1,1,2,3,2,3,1,0,0,1,12
11/27/2020,Langmere,04,Solomon Stanhope,0-1,0-1,0-0,2,1,3,2,0,2,1,0,1,12
11/27/2020,Langmere,50,Emeka Kealoha,2-7,2-2,2-3,2,2,4,0,8,2,2,1,0,14
11/27/2020,Langmere,15,Kwame Hazlett,0-6,0-2,2-2,2,2,4,0,2,2,2,0,1,14
11/27/2020,Langmere,05,Ugo Zeller,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0+
11/27/2020,Langmere,24,Bo Yeboah,0-6,0-3,2-3,1,0,1,0,2,0,0,1,0,16
11/27/2020,Langmere,23,Wendell Lomax,0-3,0-2,0-1,0,1,1,2,0,2,1,1,0,13
11/27/2020,Langmere,,TEAM,,,,0,0,0,,,,3,,,
11/27/2020,Langmere,,Totals,26-63,11-29,11-24,16,23,39,14,74,21,25,9,8,200
12/01/2020,Redhill,35,Kwame Pilkington,11-13,1-5,0-1,3,0,3,3,23,2,4,2,2,27
12/01/2020,Redhill,45,Bo Janowski,2-4,2-4,1-3,3,0,3,3,7,3,1,1,2,25
12/01/2020,Redhill,55,Emeka Yeboah,4-9,0-4,0-3,4,5,9,4,8,6,1,2,1,32
12/01/2020,Redhill,10,Hollis Vantrease,1-8,1-1,0-3,4,4,8,2,3,1,1,3,2,34
12/01/2020,Redhill,42,Wendell Bramwell,4-6,0-0,3-4,2,7,9,2,11,6,2,2,1,27
12/01/2020,Redhill,02,Nikola Tolliver,0-3,0-3,0-2,2,0,2,1,0,1,1,1,0,16
12/01/2020,Redhill,12,Zeke Whitlock,2-3,2-3,2-2,0,2,2,0,8,1,0,1,0,12
12/01/2020,Redhill,04,Solomon Stanhope,,,,,,,,,,,,,DNP
12/01/2020,Redhill,50,Emeka Kealoha,3-4,3-4,0-1,3,4,7,3,9,2,2,1,1,17
12/01/2020,Redhill,15,Kwame Hazlett,,,,,,,,,,,,,DNP
12/01/2020,Redhill,05,Ugo Zeller,1-4,1-1,0-1,1,2,3,0,3,1,1,0,1,9
12/01/2020,Redhill,24,Bo Yeboah,,,,,,,,,,,,,DNP
12/01/2020,Redhill,23,Wendell Lomax,,,,,,,,,,,,,DNP
12/01/2020,Redhill,,TEAM,,,,0,0,0,,,,0,,,
12/01/2020,Redhill,,Totals,28-54,10-25,6-20,22,24,46,18,72,23,13,13,10,200
12/07/2020,Carrowmore,35,Kwame Pilkington,0-2,0-2,0-2,2,2,4,1,0,4,2,2,1,20
12/07/2020,Carrowmore,45,Bo Janowski,6-9,2-2,1-1,2,1,3,2,16,2,1,2,1,21
12/07/2020,Carrowmore,55,Emeka Yeboah,0-4,0-2,1-1,2,6,8,1,1,1,3,0,2,21
12/07/2020,Carrowmore,10,Hollis Vantrease,8-19,5-7,1-4,1,1,2,3,22,9,0,3,1,40-
12/07/2020,Carrowmore,42,Wendell Bramwell,4-8,2-5,2-3,2,4,6,2,12,1,1,2,2,20
12/07/2020,Carrowmore,02,Nikola Tolliver,4-4,0-2,0-2,2,1,3,0,6,2,2,1,0,11
12/07/2020,Carrowmore,12,Zeke Whitlock,0-2,0-2,0-0,0,0,0,1,0,2,1,1,1,9
12/07/2020,Carrowmore,04,Solomon Stanhope,3-3,0-0,0-1,1,2,3,0,6,0,0,1,0,11
12/07/2020,Carrowmore,50,Emeka Kealoha,2-2,2-2,1-1,1,3,4,1,7,0,1,0,1,16
12/07/2020,Carrowmore,15,Kwame Hazlett,3-3,0-2,0-1,1,3,4,1,6,2,1,0,0,11
12/07/2020,Carrowmore,05,Ugo Zeller,2-2,1-1,0-1,0,1,1,1,5,0,1,0,0,6
12/07/2020,Carrowmore,24,Bo Yeboah,0-2,0-2,0-1,0,1,1,2,0,3,0,1,0,14
12/07/2020,Carrowmore,,TEAM,,,,5,2,7,,,,0,,,
12/07/2020,Carrowmore,,Totals,32-60,12-29,6-18,19,27,46,15,81,26,13,13,9,200
12/13/2020,Harlowe,35,Kwame Pilkington,0-10,0-3,1-1,2,0,2,1,1,1,2,2,2,22
12/13/2020,Harlowe,45,Bo Janowski,0-2,0-2,0-0,3,2,5,3,0,5,1,1,1,20
12/13/2020,Harlowe,55,Emeka Yeboah,0-6,0-4,4-4,0,3,3,1,4,3,0,0,3,33
12/13/2020,Harlowe,10,Hollis Vantrease,5-6,0-6,1-2,4,9,13,3,11,2,1,1,3,40-
12/13/2020,Harlowe,42,Wendell Bramwell,8-9,5-6,3-5,2,1,3,5,24,4,1,1,2,28
12/13/2020,Harlowe,02,Nikola Tolliver,0-6,0-4,2-2,2,2,4,3,2,2,2,1,0,15
12/13/2020,Harlowe,12,Zeke Whitlock,,,,,,,,,,,,,DNP
12/13/2020,Harlowe,04,Solomon Stanhope,,,,,,,,,,,,,DNP
12/13/2020,Harlowe,50,Emeka Kealoha,2-3,0-1,0-1,1,2,3,0,4,1,0,0,1,16
12/13/2020,Harlowe,15,Kwame Hazlett,3-5,1-3,1-1,1,4,5,2,8,2,2,2,0,19
12/13/2020,Harlowe,05,Ugo Zeller,4-4,1-1,1-1,1,0,1,1,10,0,1,0,0,8
12/13/2020,Harlowe,24,Bo Yeboah,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0+
12/13/2020,Harlowe,,TEAM,,,,4,3,7,,,,3,,,
12/13/2020,Harlowe,,Totals,22-51,7-30,13-17,20,26,46,19,64,20,13,8,12,200
12/16/2020,Redhill,35,Kwame Pilkington,4-5,3-3,1-2,2,1,3,3,12,2,3,0,2,20
12/16/2020,Redhill,45,Bo Janowski,3-6,2-5,0-2,0,4,4,2,8,1,1,0,0,20
12/16/2020,Redhill,55,Emeka Yeboah,0-9,0-2,5-6,2,4,6,4,5,7,5,4,0,40-
12/16/2020,Redhill,10,Hollis Vantrease,6-8,4-6,3-4,2,1,3,3,19,6,3,1,1,23
12/16/2020,Redhill,42,Wendell Bramwell,0-2,0-1,1-2,1,3,4,2,1,1,3,1,1,17
12/16/2020,Redhill,02,Nikola Tolliver,2-3,1-1,1-1,1,1,2,1,6,1,1,0,1,7
12/16/2020,Redhill,12,Zeke Whitlock,4-4,0-1,1-1,0,3,3,1,9,1,0,0,1,11
12/16/2020,Redhill,04,Solomon Stanhope,2-3,1-2,0-2,2,3,5,1,5,0,1,1,1,13
12/16/2020,Redhill,50,Emeka Kealoha,1-7,0-1,1-1,1,1,2,2,3,1,1,0,1,13
12/16/2020,Redhill,15,Kwame Hazlett,3-6,1-1,3-3,1,4,5,1,10,4,3,1,0,17
12/16/2020,Redhill,05,Ugo Zeller,0-1,0-1,1-1,0,1,1,1,1,1,0,0,0,6
12/16/2020,Redhill,24,Bo Yeboah,2-5,2-3,0-0,2,3,5,2,6,3,2,0,1,14
12/16/2020,Redhill,,TEAM,,,,1,3,4,,,,3,,,
12/16/2020,Redhill,,Totals,27-59,14-27,17-25,15,32,47,23,85,28,26,8,9,200
12/21/2020,Langmere,35,Kwame Pilkington,0-16,0-3,0-5,5,2,7,1,0,1,0,0,3,34
12/21/2020,Langmere,45,Bo Janowski,2-11,2-4,3-3,2,1,3,0,9,3,2,1,1,20
12/21/2020,Langmere,55,Emeka Yeboah,2-3,2-3,3-3,3,1,4,1,9,3,1,2,0,21
12/21/2020,Langmere,10,Hollis Vantrease,10-11,0-1,5-7,2,1,3,5,25,4,2,1,3,31
12/21/2020,Langmere,42,Wendell Bramwell,11-13,5-5,0-3,2,1,3,0,27,0,4,4,3,40-
12/21/2020,Langmere,02,Nikola Tolliver,2-5,1-1,1-2,1,4,5,1,6,2,1,1,1,16
12/21/2020,Langmere,12,Zeke Whitlock,,,,,,,,,,,,,DNP
12/21/2020,Langmere,04,Solomon Stanhope,,,,,,,,,,,,,DNP
12/21/2020,Langmere,50,Emeka Kealoha,,,,,,,,,,,,,DNP
12/21/2020,Langmere,15,Kwame Hazlett,4-7,2-3,3-3,1,0,1,1,13,4,3,1,1,17
12/21/2020,Langmere,05,Ugo Zeller,,,,,,,,,,,,,DNP
12/21/2020,Langmere,24,Bo Yeboah,4-9,1-1,1-3,3,5,8,2,10,4,0,2,0,20
12/21/2020,Langmere,23,Wendell Lomax,,,,,,,,,,,,,DNP
12/21/2020,Langmere,,TEAM,,,,0,3,3,,,,0,,,
12/21/2020,Langmere,,Totals,35-75,13-21,16-29,19,18,37,11,99,21,13,12,12,200
12/27/2020,Eastvale,35,Kwame Pilkington,3-6,3-5,0-2,2,4,6,1,9,0,3,1,0,20
12/27/2020,Eastvale,45,Bo Janowski,13-18,0-7,0-1,4,8,12,2,26,6,6,2,4,40-
12/27/2020,Eastvale,55,Emeka Yeboah,3-4,0-3,3-7,3,8,11,0,9,5,1,2,3,33
12/27/2020,Eastvale,10,Hollis Vantrease,3-9,1-2,0-0,1,7,8,4,7,3,5,3,1,28
12/27/2020,Eastvale,42,Wendell Bramwell,11-14,0-0,5-5,0,1,1,2,27,0,1,0,2,27
12/27/2020,Eastvale,02,Nikola Tolliver,1-3,1-1,2-2,0,1,1,1,5,2,2,0,0,11
12/27/2020,Eastvale,12,Zeke Whitlock,,,,,,,,,,,,,DNP
12/27/2020,Eastvale,04,Solomon Stanhope,2-5,1-2,0-0,2,2,4,2,5,4,2,0,1,16
12/27/2020,Eastvale,50,Emeka Kealoha,1-9,1-3,1-1,1,5,6,2,4,4,3,0,0,18
12/27/2020,Eastvale,15,Kwame Hazlett,,,,,,,,,,,,,DNP
12/27/2020,Eastvale,05,Ugo Zeller,1-1,0-1,0-0,1,1,2,0,2,0,1,0,0,6
12/27/2020,Eastvale,,TEAM,,,,5,4,9,,,,1,,,
12/27/2020,Eastvale,,Totals,38-69,7-24,11-18,19,41,60,14,94,24,25,8,11,200
01/01/2021,Redhill,35,Kwame Pilkington,3-5,3-5,2-7,5,9,14,5,11,2,3,1,1,32
01/01/2021,Redhill,45,Bo Janowski,3-3,1-3,1-4,1,2,3,3,8,4,3,1,1,23
01/01/2021,Redhill,55,Emeka Yeboah,2-3,2-3,3-6,2,2,4,2,9,6,4,0,1,29
01/01/2021,Redhill,10,Hollis Vantrease,6-16,5-7,0-4,3,3,6,3,17,7,5,2,1,34
01/01/2021,Redhill,42,Wendell Bramwell,6-7,1-2,0-4,2,0,2,1,13,1,2,1,0,25
01/01/2021,Redhill,02,Nikola Tolliver,,,,,,,,,,,,,DNP
01/01/2021,Redhill,12,Zeke Whitlock,1-10,0-1,0-2,0,4,4,1,2,4,2,1,2,19
01/01/2021,Redhill,04,Solomon Stanhope,,,,,,,,,,,,,DNP
01/01/2021,Redhill,50,Emeka Kealoha,7-11,1-5,3-5,2,2,4,3,18,1,2,1,2,25
01/01/2021,Redhill,15,Kwame Hazlett,,,,,,,,,,,,,DNP
01/01/2021,Redhill,05,Ugo Zeller,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0+
01/01/2021,Redhill,24,Bo Yeboah,2-4,1-2,0-2,1,2,3,1,5,3,2,1,0,13
01/01/2021,Redhill,,TEAM,,,,5,0,5,,,,1,,,
01/01/2021,Redhill,,Totals,30-59,14-28,9-34,21,24,45,19,83,28,24,8,8,200
01/07/2021,Saltmarsh,35,Kwame Pilkington,9-9,0-1,1-1,1,6,7,3,19,3,3,2,0,23
01/07/2021,Saltmarsh,45,Bo Janowski,1-3,1-1,2-2,3,3,6,3,5,6,3,2,1,25
01/07/2021,Saltmarsh,55,Emeka Yeboah,3-5,3-4,0-6,3,0,3,0,9,6,1,2,2,28
01/07/2021,Saltmarsh,10,Hollis Vantrease,3-12,2-3,1-2,3,3,6,1,9,4,3,1,2,25
01/07/2021,Saltmarsh,42,Wendell Bramwell,8-13,0-8,2-7,3,5,8,1,18,1,6,1,2,38
01/07/2021,Saltmarsh,02,Nikola Tolliver,,,,,,,,,,,,,DNP
01/07/2021,Saltmarsh,12,Zeke Whitlock,4-4,0-2,0-0,0,1,1,1,8,1,1,0,0,9
01/07/2021,Saltmarsh,04,Solomon Stanhope,6-6,2-4,1-2,2,1,3,2,15,3,2,0,0,15
01/07/2021,Saltmarsh,50,Emeka Kealoha,1-3,0-0,2-2,2,2,4,1,4,2,0,1,0,14
01/07/2021,Saltmarsh,15,Kwame Hazlett,6-7,2-3,0-2,1,2,3,2,14,2,1,2,1,17
01/07/2021,Saltmarsh,05,Ugo Zeller,0-1,0-0,1-1,0,1,1,1,1,1,0,0,0,6
01/07/2021,Saltmarsh,,TEAM,,,,1,4,5,,,,1,,,
01/07/2021,Saltmarsh,,Totals,41-63,10-26,10-25,19,28,47,15,102,29,21,11,8,200
01/10/2021,Kestrel Bay,35,Kwame Pilkington,2-15,2-5,0-6,2,0,2,2,6,0,3,0,2,29
01/10/2021,Kestrel Bay,45,Bo Janowski,3-6,0-1,1-5,2,6,8,1,7,5,0,2,0,28
01/10/2021,Kestrel Bay,55,Emeka Yeboah,2-11,0-0,4-4,1,1,2,1,8,3,0,0,2,22
01/10/2021,Kestrel Bay,10,Hollis Vantrease,5-15,1-4,1-1,1,8,9,2,12,1,2,0,3,33
01/10/2021,Kestrel Bay,42,Wendell Bramwell,1-5,1-2,1-3,0,2,2,1,4,1,4,2,2,27
01/10/2021,Kestrel Bay,02,Nikola Tolliver,,,,,,,,,,,,,DNP
01/10/2021,Kestrel Bay,12,Zeke Whitlock,6-9,1-1,0-1,0,0,0,3,13,4,3,0,1,19
01/10/2021,Kestrel Bay,04,Solomon Stanhope,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0+
01/10/2021,Kestrel Bay,50,Emeka Kealoha,1-2,0-1,0-2,0,1,1,1,2,2,1,1,1,17
01/10/2021,Kestrel Bay,15,Kwame Hazlett,5-6,2-3,0-1,1,1,2,1,12,2,2,0,1,18
01/10/2021,Kestrel Bay,05,Ugo Zeller,0-3,0-0,0-1,1,2,3,0,0,0,1,0,0,9
01/10/2021,Kestrel Bay,24,Bo Yeboah,,,,,,,,,,,,,DNP
01/10/2021,Kestrel Bay,23,Wendell Lomax,,,,,,,,,,,,,DNP
01/10/2021,Kestrel Bay,,TEAM,,,,0,3,3,,,,0,,,
01/10/2021,Kestrel Bay,,Totals,25-72,7-17,7-24,8,24,32,12,64,18,16,5,12,200
01/12/2021,Harlowe,35,Kwame Pilkington,4-9,0-0,1-3,2,6,8,2,9,3,1,1,1,28
01/12/2021,Harlowe,45,Bo Janowski,4-9,0-2,2-3,0,4,4,1,10,2,2,2,0,17
01/12/2021,Harlowe,55,Emeka Yeboah,0-3,0-3,0-1,3,4,7,0,0,1,1,0,2,19
01/12/2021,Harlowe,10,Hollis Vantrease,2-8,2-4,1-4,2,6,8,3,7,1,5,2,0,33
01/12/2021,Harlowe,42,Wendell Bramwell,4-8,0-0,2-2,2,2,4,3,10,4,2,2,3,33
01/12/2021,Harlowe,02,Nikola Tolliver,4-0,0-2,1-1,1,1,2,0,1,1,1,1,1,9
01/12/2021,Harlowe,12,Zeke Whitlock,,,,,,,,,,,,,DNP
01/12/2021,Harlowe,04,Solomon Stanhope,1-1,0-1,0-0,1,2,3,3,5,2,1,1,0,17
01/12/2021,Harlowe,50,Emeka Kealoha,1-5,0-2,0-0,0,4,4,1,2,2,2,1,0,16
01/12/2021,Harlowe,15,Kwame Hazlett,0-2,0-1,0-0,1,1,2,0,0,0,1,1,1,13
01/12/2021,Harlowe,05,Ugo Zeller,,,,,,,,,,,,,DNP
01/12/2021,Harlowe,24,Bo Yeboah,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0+
01/12/2021,Harlowe,23,Wendell Lomax,5-5,0-2,0-2,1,2,3,2,10,3,2,0,1,15
01/12/2021,Harlowe,,TEAM,,,,2,3,5,,,,1,,,
01/12/2021,Harlowe,,Totals,21-54,2-17,7-16,15,35,50,15,54,19,19,11,9,200
01/15/2021,Fenwick,35,Kwame Pilkington,0-10,0-4,3-4,0,0,0,3,3,2,3,1,1,24
01/15/2021,Fenwick,45,Bo Janowski,6-7,1-1,3-3,0,2,2,0,16,3,3,0,0,19
01/15/2021,Fenwick,55,Emeka Yeboah,6-6,0-6,3-6,4,6,10,5,15,2,3,4,1,40-
01/15/2021,Fenwick,10,Hollis Vantrease,1-4,1-3,4-4,2,0,2,3,7,2,3,0,1,20
01/15/2021,Fenwick,42,Wendell Bramwell,4-5,4-5,3-5,0,1,1,3,15,0,2,0,1,25
01/15/2021,Fenwick,02,Nikola Tolliver,2-5,0-0,0-0,1,1,2,1,4,0,2,0,0,11
01/15/2021,Fenwick,12,Zeke Whitlock,0-1,0-1,0-0,0,2,2,1,0,2,2,1,0,11
01/15/2021,Fenwick,04,Solomon Stanhope,1-2,1-2,2-2,2,4,6,2,5,0,1,0,0,13
01/15/2021,Fenwick,50,Emeka Kealoha,,,,,,,,,,,,,DNP
01/15/2021,Fenwick,15,Kwame Hazlett,0-5,0-1,1-2,1,3,4,1,1,1,2,0,0,13
01/15/2021,Fenwick,05,Ugo Zeller,1-1,0-1,0-0,0,0,0,0,2,0,1,0,0,5
01/15/2021,Fenwick,24,Bo Yeboah,3-4,0-0,1-1,0,1,1,0,7,2,2,1,1,13
01/15/2021,Fenwick,23,Wendell Lomax,1-1,0-0,0-1,0,1,1,1,2,1,0,0,0,7
01/15/2021,Fenwick,,TEAM,,,,1,1,2,,,,1,,,
01/15/2021,Fenwick,,Totals,25-51,7-24,20-28,11,22,33,20,77,15,25,7,5,200
01/17/2021,Kestrel Bay,35,Kwame Pilkington,2-5,2-5,0-2,3,1,4,1,6,2,3,1,1,20
01/17/2021,Kestrel Bay,45,Bo Janowski,3-11,3-6,1-2,2,2,4,1,10,4,3,3,2,27
01/17/2021,Kestrel Bay,55,Emeka Yeboah,0-11,0-2,0-1,2,2,4,5,0,4,1,0,1,31
01/17/2021,Kestrel Bay,10,Hollis Vantrease,2-10,0-2,1-3,1,2,3,2,5,7,5,2,3,31
01/17/2021,Kestrel Bay,42,Wendell Bramwell,7-18,0-2,6-6,3,8,11,3,20,8,4,1,2,40-
01/17/2021,Kestrel Bay,02,Nikola Tolliver,0-2,0-2,1-2,1,3,4,1,1,0,0,1,1,13
01/17/2021,Kestrel Bay,12,Zeke Whitlock,4-6,3-3,0-3,1,1,2,1,11,2,0,0,1,13
01/17/2021,Kestrel Bay,04,Solomon Stanhope,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
01/17/2021,Kestrel Bay,50,Emeka Kealoha,,,,,,,,,,,,,DNP
01/17/2021,Kestrel Bay,15,Kwame Hazlett,3-5,0-1,2-3,2,3,5,2,8,0,2,1,0,14
01/17/2021,Kestrel Bay,05,Ugo Zeller,4-4,0-2,1-1,1,0,1,1,9,2,2,0,1,11
01/17/2021,Kestrel Bay,24,Bo Yeboah,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0+
01/17/2021,Kestrel Bay,,TEAM,,,,1,4,5,,,,0,,,
01/17/2021,Kestrel Bay,,Totals,25-72,8-25,12-23,17,26,43,17,70,29,20,9,12,200
01/20/2021,Northgate,35,Kwame Pilkington,4-5,1-2,2-2,2,5,7,0,11,1,3,1,2,22
01/20/2021,Northgate,45,Bo Janowski,1-4,1-4,3-4,0,6,6,4,6,5,3,0,2,25
01/20/2021,Northgate,55,Emeka Yeboah,1-2,0-0,2-5,0,4,4,3,4,3,3,1,2,21
01/20/2021,Northgate,10,Hollis Vantrease,0-13,0-2,0-3,3,4,7,1,0,0,2,3,1,28
01/20/2021,Northgate,42,Wendell Bramwell,4-8,1-5,0-0,0,5,5,2,9,3,1,2,1,26
01/20/2021,Northgate,02,Nikola Tolliver,1-1,1-1,0-0,1,2,3,1,3,2,0,1,1,10
01/20/2021,Northgate,12,Zeke Whitlock,0-4,0-3,0-1,0,2,2,1,-2,0,2,0,1,13
01/20/2021,Northgate,04,Solomon Stanhope,1-1,0-0,0-0,2,2,4,1,2,2,1,1,1,14
01/20/2021,Northgate,50,Emeka Kealoha,6-7,1-4,1-1,1,2,3,1,14,1,1,1,1,16
01/20/2021,Northgate,15,Kwame Hazlett,6-8,0-5,0-1,1,5,6,0,12,0,2,1,1,19
01/20/2021,Northgate,05,Ugo Zeller,1-1,0-1,0-1,1,1,2,1,2,1,1,1,1,6
01/20/2021,Northgate,,TEAM,,,,0,3,3,,,,2,,,
01/20/2021,Northgate,,Totals,25-54,5-27,8-18,11,41,52,15,61,18,21,12,14,200
01/22/2021,Kestrel Bay,35,Kwame Pilkington,17-10,4-5,0-2,4,10,14,1,24,2,2,4,3,40-
01/22/2021,Kestrel Bay,45,Bo Janowski,2-3,1-3,2-4,1,0,1,0,7,3,1,2,1,20
01/22/2021,Kestrel Bay,55,Emeka Yeboah,1-6,1-5,0-2,1,1,2,4,3,1,1,0,1,24
01/22/2021,Kestrel Bay,10,Hollis Vantrease,6-10,0-1,1-2,1,1,2,2,13,1,4,1,1,23
