Freelancer,Work Date,Started,Finished,Hours
S. Marchetti,2026-03-02,10:30 AM,6:15 PM,7.75
D. Ferreira,2026-03-02,10:30 AM,5:00 PM,6.5
P. Lindqvist,2026-03-20,9:15 AM,6:15 PM,9
P. Lindqvist,2026-03-22,10:30 AM,5:15 PM,6.75
S. Marchetti,2026-03-11,9:15 AM,5:00 PM,7.75
S. Marchetti,2026-03-04,8:45 AM,5:15 PM,8.5
P. Lindqvist,2026-03-27,9:00 AM,3:45 PM,6:45
S. Marchetti,2026-03-10,9:00 AM,4:45 PM,7.75
R. Ashwell,2026-03-06,8:00 AM,3:45 PM,7.75
D. Ferreira,2026-03-11,10:30 AM,4:45 PM,6.25
D. Ferreira,2026-03-08,8:00 AM,5:00 PM,9
P. Lindqvist,2026-03-06,9:00 AM,5:30 PM,8.5
D. Ferreira,2026-03-10,9:30 AM,3:45 PM,6.25
J. Okonkwo,2026-03-02,8:30 AM,5:15 PM,8.75
S. Marchetti,2026-03-15,9:45 AM,4:30 PM,6.75
R. Ashwell,2026-03-24,9:45 AM,6:45 PM,9
P. Lindqvist,2026-03-02,8:45 AM,3:15 PM,6.5
S. Marchetti,2026-03-06,8:30 AM,2:45 PM,6.25
D. Ferreira,2026-03-03,10:30 AM,6:45 PM,8.25
S. Marchetti,2026-03-12,8:15 AM,2:45 PM,6.5
S. Marchetti,2026-03-25,9:00 AM,4:45 PM,7.75
S. Marchetti,2026-03-22,9:00 AM,6:00 PM,9
M. Tarrant,2026-03-15,10:00 AM,6:30 AM,8.5
P. Lindqvist,2026-03-12,10:00 AM,4:45 PM,6.75
M. Tarrant,2026-03-12,10:30 AM,5:15 PM,6.75
S. Marchetti,2026-03-06,9:15 AM,5:00 PM,7.75
R. Ashwell,2026-03-02,8:15 AM,2:15 PM,6
M. Tarrant,2026-03-03,8:15 AM,3:30 PM,7.25
J. Okonkwo,2026-03-23,10:15 AM,6:30 PM,8.25
M. Tarrant,2026-03-24,8:15 AM,5:15 PM,9
M. Tarrant,2026-03-23,8:15 AM,4:15 PM,8
D. Ferreira,2026-03-24,8:00 AM,2:00 PM,6
J. Okonkwo,2026-03-20,10:30 AM,7:30 PM,9
R. Ashwell,2026-03-10,,6:45 PM,
J. Okonkwo,2026-03-06,8:15 AM,4:00 PM,7.75
J. Okonkwo,2026-03-27,9:30 AM,4:15 PM,6.75
D. Ferreira,2026-03-20,10:15 AM,6:00 PM,7.75
P. Lindqvist,2026-03-05,10:15 AM,6:45 PM,8.5
R. Ashwell,2026-03-25,8:30 AM,5:15 PM,8.75
M. Tarrant,2026-03-25,10:15 AM,5:30 PM,7.25
J. Okonkwo,2026-03-24,8:00 AM,3:45 PM,7.75
P. Lindqvist,2026-03-06,9:15 AM,5:15 PM,8
P. Lindqvist,2026-03-24,8:00 AM,4:30 PM,8.5
D. Ferreira,2026-03-25,9:00 AM,3:45 PM,6.75
R. Ashwell,2026-03-27,8:30 AM,2:45 PM,6.25
J. Okonkwo,2026-03-03,10:30 AM,6:15 PM,7.75
P. Lindqvist,2026-03-14,8:30 AM,4:00 PM,7.5
P. Lindqvist,2026-03-21,9:00 AM,5:30 PM,8.5
R. Ashwell,2026-03-11,9:30 AM,6:00 PM,8.5
J. Okonkwo,2026-03-17,9:00 AM,5:45 PM,8.75
M. Tarrant,2026-03-24,9:45 AM,4:00 PM,6.25
D. Ferreira,2026-03-03,8:00 AM,3:00 PM,7
S. Marchetti,2026-03-25,9:00 AM,5:45 PM,8.75
M. Tarrant,2026-03-21,9:30 AM,4:45 PM,7.25
D. Ferreira,2026-03-20,9:00 AM,4:00 PM,7
S. Marchetti,2026-03-13,10:15 AM,5:00 PM,6.75
S. Marchetti,2026-03-21,9:45 AM,3:45 PM,6
D. Ferreira,2026-03-21,8:30 AM,5:15 PM,8.75
D. Ferreira,2026-03-12,9:45 AM,5:30 PM,7.75
S. Marchetti,2026-03-24,10:00 AM,5:15 PM,7.25
S. Marchetti,2026-03-12,9:30 AM,3:45 PM,6.25
P. Lindqvist,2026-03-21,9:00 AM,5:00 PM,8
M. Tarrant,2026-03-09,8:45 AM,4:30 PM,7.75
D. Ferreira,2026-03-07,8:15 AM,3:15 PM,7
D. Ferreira,2026-03-06,9:30 AM,5:00 PM,7.5
J. Okonkwo,2026-03-04,9:00 AM,3:30 PM,6.5
S. Marchetti,2026-03-02,9:45 AM,5:15 PM,7.5
R. Ashwell,2026-03-06,10:15 AM,7:00 PM,8.75
J. Okonkwo,2026-03-08,8:45 AM,5:45 PM,9
S. Marchetti,2026-03-17,10:15 AM,6:00 PM,7.75
P. Lindqvist,2026-03-08,9:00 AM,4:45 PM,7.75
M. Tarrant,2026-03-08,9:45 AM,6:45 PM,9
J. Okonkwo,2026-03-11,10:00 AM,6:15 PM,8.25
D. Ferreira,2026-03-22,8:15 AM,3:30 PM,7.25
D. Ferreira,2026-03-25,8:45 AM,5:15 PM,8.5
P. Lindqvist,2026-03-13,8:00 AM,3:15 PM,7.25
R. Ashwell,2026-03-14,9:45 AM,4:00 PM,6.25
P. Lindqvist,2026-03-13,9:15 AM,4:45 PM,7.5
S. Marchetti,2026-03-19,10:30 AM,6:00 PM,7.5
P. Lindqvist,2026-03-05,9:45 AM,5:15 PM,7.5
D. Ferreira,2026-03-03,8:15 AM,4:00 PM,7.75
M. Tarrant,2026-03-18,8:30 AM,5:15 PM,8.75
S. Marchetti,2026-03-22,8:00 AM,3:00 PM,7
S. Marchetti,2026-03-19,10:00 AM,4:45 PM,6.75
S. Marchetti,2026-03-10,10:00 AM,7:00 PM,9
M. Tarrant,2026-03-05,9:00 AM,3:45 PM,6.75
S. Marchetti,2026-03-25,9:15 AM,5:15 PM,8
D. Ferreira,2026-03-15,10:00 AM,4:15 PM,6.25
J. Okonkwo,2026-03-02,10:00 AM,6:00 PM,8
D. Ferreira,2026-03-18,8:45 AM,5:45 PM,9
S. Marchetti,2026-03-22,10:15 AM,6:30 PM,8.25
J. Okonkwo,2026-03-05,9:15 AM,3:15 PM,6
R. Ashwell,2026-03-19,8:45 AM,5:00 PM,8.25
J. Okonkwo,2026-03-19,8:00 AM,2:00 PM,6
P. Lindqvist,2026-03-17,9:30 AM,4:30 PM,7
M. Tarrant,2026-03-17,10:15 AM,4:45 PM,6.5
D. Ferreira,2026-03-12,10:15 AM,4:30 PM,6.25
J. Okonkwo,2026-03-12,8:15 AM,2:45 PM,6.5
R. Ashwell,2026-03-07,8:00 AM,4:15 PM,8.25
M. Tarrant,2026-03-06,8:00 AM,3:00 PM,7
S. Marchetti,2026-03-25,9:45 AM,5:45 PM,8
S. Marchetti,2026-03-27,8:45 AM,4:30 PM,7.75
D. Ferreira,2026-03-13,9:00 AM,3:30 PM,6.5
P. Lindqvist,2026-03-05,10:30 AM,7:30 PM,9
P. Lindqvist,2026-03-15,10:00 AM,4:00 PM,6
J. Okonkwo,2026-03-18,10:30 AM,6:30 PM,8
S. Marchetti,2026-03-09,9:30 AM,4:15 PM,6.75
S. Marchetti,2026-03-24,9:45 AM,5:45 PM,8
M. Tarrant,2026-03-18,8:45 AM,3:30 PM,6.75
S. Marchetti,2026-03-16,9:15 AM,3:45 PM,6.5
M. Tarrant,2026-03-14,10:00 AM,6:45 PM,8.75
D. Ferreira,2026-03-11,8:00 AM,3:45 PM,7.75
M. Tarrant,2026-03-26,10:00 AM,4:00 PM,6
D. Ferreira,2026-03-13,8:45 AM,3:30 PM,6.75
J. Okonkwo,2026-03-26,9:15 AM,4:15 PM,7
J. Okonkwo,2026-03-17,8:30 AM,3:15 PM,6.75
D. Ferreira,2026-03-12,9:00 AM,6:00 PM,9
P. Lindqvist,2026-03-03,9:45 AM,4:15 PM,6.5
S. Marchetti,2026-03-16,8:00 AM,3:30 PM,7.5
D. Ferreira,2026-03-20,8:45 AM,4:15 PM,7.5
D. Ferreira,2026-03-26,8:45 AM,5:15 PM,8.5
D. Ferreira,2026-03-21,10:00 AM,5:15 PM,7.25
M. Tarrant,2026-03-02,9:45 AM,6:30 PM,8.75
D. Ferreira,2026-03-22,8:00 AM,2:45 PM,6.75
M. Tarrant,2026-03-23,8:15 AM,5:00 PM,8.75
M. Tarrant,2026-03-17,10:15 AM,5:15 PM,7
R. Ashwell,2026-03-02,8:15 AM,2:45 PM,6.5
R. Ashwell,2026-03-12,10:15 AM,7:15 PM,9
M. Tarrant,2026-03-25,8:45 AM,3:30 PM,6.75
