Staff No,Given Name,Family Name,Email,Team,Reports To,First Day,Hrs/Week
A-0073,Nikola,Pemberton,nikola.pemberton@harlowcourt.example,Housekeeping,Ines Duarte,2025-07-20,32.7
A-0074,Oscar,Quinlan,oscar.quinlan@harlowcourt.example,Back of House,Ines Duarte,2019-10-04,39.9
A-0075,Petra,Rasmussen,petra.rasmussen@harlowcourt.example,Back-of-house,Ines Duarte,2020-04-09,32.5
A-0076,Rafael,Szabo,rafael.szabo@harlowcourt.example,Reception,Ines Duarte,2019-04-27,16.5
A-0077,Saoirse,Tanaka,saoirse.tanaka@harlowcourt.example,Housekeeping,Tomasz Wieczorek,2025-09-06,39.8
A-0078,Tevita,Abara,tevita.abara@harlowcourt.example,Back of House,Priya Raman,2023-12-28,38.9
A-0079,Ulla,Bergqvist,ulla.bergqvist@harlowcourt.example,Back-of-house,Marta Okafor,2019-11-09,30.7
A-0080,Viktor,Cardoso,viktor.cardoso@harlowcourt.example,Back-of-house,Ines Duarte,2023-02-06,22.9
A-0081,Ana,Eriksen,ana.eriksen@harlowcourt.example,Reception,Tomasz Wieczorek,2025-07-09,29.8
A-0082,Callum,Fahey,callum.fahey@harlowcourt.example,Housekeeping,Marta Okafor,2025-01-09,35.6
A-0083,Dilara,Gallardo,dilara.gallardo@harlowcourt.example,Front of House,Ines Duarte,2020-07-25,37.8
A-0084,Emeka,Haugen,emeka.haugen@harlowcourt.example,Back of House,Ines Duarte,2025-07-15,25.4
A-0085,Fiona,Ivanova,fiona.ivanova@harlowcourt.example,Housekeeping,Ines Duarte,2019-04-10,30.5
A-0086,Grigor,Jarrett,grigor.jarrett@harlowcourt.example,Housekeeping,Marta Okafor,2022-10-15,31.8
A-0087,Hana,Kovac,hana.kovac@harlowcourt.example,Housekeeping,Ines Duarte,2019-05-21,35.9
A-0088,Iustin,Lindqvist,iustin.lindqvist@harlowcourt.example,Reception,Ines Duarte,2021-12-01,22.2
A-0089,Joana,Marchetti,joana.marchetti@harlowcourt.example,Front of House,Ines Duarte,2020-05-30,18.6
A-0090,Kwame,Novak,kwame.novak@harlowcourt.example,Back-of-house,Marta Okafor,2026-03-05,29.5
A-0091,Liesel,Ostrowski,liesel.ostrowski@harlowcourt.example,House Keeping,Priya Raman,2020-07-03,28.7
A-0092,Mira,Pemberton,mira.pemberton@harlowcourt.example,Housekeeping,Ines Duarte,2022-04-21,34.7
A-0093,Nikola,Quinlan,nikola.quinlan@harlowcourt.example,Front of House,Priya Raman,2023-07-30,36.2
A-0094,Oscar,Rasmussen,oscar.rasmussen@harlowcourt.example,Housekeeping,Tomasz Wieczorek,2021-12-24,36.6
A-0095,Petra,Szabo,petra.szabo@harlowcourt.example,Back-of-house,Ines Duarte,2024-01-05,18.8
A-0096,Rafael,Tanaka,rafael.tanaka@harlowcourt.example,Reception,Marta Okafor,2019-05-11,24.9
