Prop,Property,Property Address,Unit,SqFt,Beds,Baths,Status,Resident,Email,Lease From,Lease To,Market Rent,Rent
GRN,Greenfield Commons,1400 Greenfield Rd,A115,"1,037",2,2,NTV,"Oyelaran, Ulrich",ulrich.oyelaran@example.com,2026-03-26,2027-04-05,"$1,865.00","1,855.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A116,983,2,1.5,Occupied,"Beaumont, Elke",elke.beaumont@example.com,2026-02-17,2027-02-21,"$1,840.00","$1,810.00"
GRN,Greenfield Commons Apartments,1400 Greenfield Rd,A117,"1,039",2,2,NTV,"Eriksen, Ferran",ferran.eriksen@example.org,2024-12-17,2025-06-26,"$1,825.00","$1,770.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A118,970,2,1.5,MTM,"Ashworth, Valentina",valentina.ashworth@example.com,2026-04-02,2027-03-31,"1,930.00","$1,905.00"
GRN,Greenfield Commons,1400 Greenfield Road,A119,758,1,1,Notice,"Cisneros, Aurelio",aurelio.cisneros@example.com,2025-02-24,2025-09-02,"$1,660.00","$1,640.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A120,955,2,1.5,MTM,"Ferrante, Marisol",marisol.ferrante@example.com,06/2026,2027-04-13,"$2,070.00","$2,010.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A121,"1,051",2,2,Occupied,"Villanueva, Nadim",nadim.villanueva@example.com,2026-02-14,2026-12-07,"2,040.00","2,035.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A122,530,0,1,Occupied,"Beaumont, Valentina",valentina.beaumont@example.com,2024-08-21,2025-09-16,"$1,140.00","1,100.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A122,530,0,1,Occupied,"Radulescu, Quentin",quentin.radulescu@mail.example.net,2024-08-21,2025-09-16,"$1,140.00","1,100.00"
GRN,GREENFIELD COMMONS,1400 Greenfield Rd,A123,"1,024",2,2,MTM,"Mwangi, Hamza",hamza.mwangi@example.com,2025-04-13,2026-01-01,"1,975.00","$1,920.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A123,"1,024",2,2,MTM,"Ubaldi, Hamza",hamza.ubaldi@mail.example.net,2025-04-13,2026-01-01,"1,975.00","$1,920.00"
GRN,Greenfield Commons Apartments,1400 Greenfield Rd,A124,"1,077",2,1,Occupied,"Tavares, Elke",elke.tavares@example.org,2026-02-09,2026-09-04,"$2,005.00","$1,975.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A124,"1,077",2,1,Occupied,"Dupont, Soren",soren.dupont@example.org,2026-02-09,2026-09-04,"$2,005.00","1,975.00"
GRN,Greenfield Commons,1400 Greenfield Road,A125,810,1,1,Occ,"Beaumont, Katrien",katrien.beaumont@example.com,2026-03-23,2026-10-02,"1,440.00","$1,440.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A125,810,1,1,Occ,"Beaumont, Ilse",ilse.beaumont@example.com,2026-03-23,2026-10-02,"$1,440.00","$1,440.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A126,457,0,1,Occupied,"Nakamura, Marisol",marisol.nakamura@example.com,2024-07-29,2025-05-10,985.00,980.00
GRN,Greenfield Commons,1400 Greenfield Rd,A127,"1,022",2,1,MTM,"Quintero, Katrien",katrien.quintero@mail.example.net,04/2024,,"2,060.00","$2,030.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A128,755,1,1,Occ,"Mwangi, Marisol",marisol.mwangi@example.org,2024-06-05,2025-04-02,"1,420.00","1,375.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A129,764,1,1,Occupied,"Wexler, Joaquin",joaquin.wexler@example.com,2025-05-02,2026-03-31,"$1,515.00","$1,465.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A129,764,1,1,MTM,"Yoshida, Priya",priya.yoshida@example.com,2026-04-16,2027-02-18,"$1,515.00","$1,505.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A130,768,1,1,Notice,"Haddad, Greta",greta.haddad@example.com,2024-06-29,2025-03-17,"$1,505.00","1,455.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A201,696,1,1,Vacant,,,,,"$1,615.00",
GRN,Greenfield Commons,1400 Greenfield Rd,A202,791,1,1,MTM,"Fontaine, Ottilie",ottilie.fontaine@example.com,2025-01-20,2025-12-28,"1,540.00","$1,540.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A203,745,1,1,Occ,"Zambrano, Joaquin",joaquin.zambrano@mail.example.net,2026-01-06,2027-01-21,"$1,520.00","1,485.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A203,745,1,1,Occ,"Pemberton, Katrien",katrien.pemberton@example.com,2026-01-06,2027-01-21,"1,520.00","$1,485.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A204,697,1,1,Occ,"Ferrante, Ilse",ilse.ferrante@example.com,2026-06-23,2027-02-19,"1,440.00","1,380.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A204,697,1,1,Occ,"Oyelaran, Bastien",bastien.oyelaran@example.org,2026-06-23,2027-02-19,"1,440.00","$1,380.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A205,781,1,1,Occupied,"Jelinek, Joaquin",joaquin.jelinek@example.com,2024-08-08,2025-02-25,"$1,605.00","$1,600.00"
GRN,Greenfield Commons Apartments,1400 Greenfield Rd,A206,769,1,1,Employee,"Lindgren, Casimir",casimir.lindgren@example.com,2026-03-20,2027-01-05,"1,620.00","$1,570.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A207,"1,301",3,1,Occupied,"Ashworth, Soren",soren.ashworth@example.com,2024-03-10,2025-03-01,"2,285.00","$2,285.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A208,"1,014",2,1.5,Occupied,"Pemberton, Soren",soren.pemberton@example.com,2025-07-28,2026-08-29,"$1,980.00","$1,955.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A209,"1,201",3,1,Occ,"Oyelaran, Ottilie",ottilie.oyelaran@example.org,2024-12-04,2025-10-28,"$2,265.00","2,245.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A210,966,2,2,Notice,"Fontaine, Xavier",xavier.fontaine@example.com,2025-09-05,2026-04-24,"$1,860.00","1,825.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A211,698,1,1,Occ,"Nakamura, Yannick",yannick.nakamura@mail.example.net,2026-01-22,2026-12-22,"$1,450.00","$1,390.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A212,547,0,1,Vacant-Ready,,,,,"$1,050.00",
GRN,Greenfield Commons,1400 Greenfield Rd,A213,689,1,1,Occupied,"Kowalczyk, Aurelio",aurelio.kowalczyk@example.org,2024-03-06,2024-09-13,"1,460.00","$1,425.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A214,"1,001",2,1,Occupied,"Ishikawa, Tamsin",tamsin.ishikawa@example.com,2026-01-09,2026-12-23,"1,935.00","$1,910.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A215,794,1,1,Occ,"Broussard, Clemence",clemence.broussard@example.com,2024-04-05,,"1,490.00","$1,470.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A216,796,1,1,Notice,"Ferrante, Dario",dario.ferrante@example.org,2025-10-01,2026-09-02,"1,520.00","$1,485.00"
GRN,Greenfield Commons Apartments,1400 Greenfield Rd,A217,"1,021",2,1,MTM,"Yoshida, Priya",priya.yoshida@example.com,2024-06-24,2025-03-16,"$1,855.00","$1,805.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A218,814,1,1,Occupied,"Engelhardt, Ottilie",ottilie.engelhardt@example.com,2026-06-08,2027-06-09,"1,445.00","$1,395.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A219,554,0,1,Occupied,"Dupont, Soren",soren.dupont@example.com,2024-08-29,2025-07-06,"1,075.00","$1,020.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A219,554,0,1,Occupied,"Beaumont, Xavier",xavier.beaumont@example.com,2024-08-29,2025-07-06,"$1,075.00","1,020.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A220,,2,2,Occupied,"Broussard, Casimir",casimir.broussard@mail.example.net,2024-07-10,2025-04-09,"$2,050.00","2,025.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A221,475,0,1,MTM,"Beaumont, Yannick",yannick.beaumont@example.com,2026-02-16,2027-03-07,"1,060.00","$1,045.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A222,446,0,1,Occupied,"Radulescu, Amara",amara.radulescu@mail.example.net,2024-02-25,2024-11-09,"$1,115.00","$1,075.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A223,"1,312",3,1,Occupied,"Dupont, Delphine",delphine.dupont@example.com,2025-06-03,,"2,485.00","2,470.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A224,803,1,1,Notice,"Grierson, Priya",priya.grierson@example.org,2025-06-20,2026-02-12,"$1,605.00","$1,600.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A225,705,1,1,Occupied,"Ubaldi, Amara",amara.ubaldi@example.com,2025-02-04,2025-12-24,"1,605.00","1,600.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A225,705,1,1,Occupied,"Beaumont, Wilhelmina",wilhelmina.beaumont@example.com,2025-02-04,2025-12-24,"1,605.00","$1,600.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A226,"1,009",2,1,Occupied,"Pemberton, Bastien",bastien.pemberton@example.com,2024-09-05,2025-10-10,"$1,950.00","1,925.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A227,728,1,1,Occupied,"Broussard, Katrien",katrien.broussard@mail.example.net,2023-06-23,2024-05-31,"$1,535.00","1,480.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A227,728,1,1,Occ,"Ubaldi, Dario",dario.ubaldi@example.org,2024-06-26,2025-04-11,"1,535.00","1,520.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A228,"1,048",2,2,NTV,"Sorokin, Bastien",bastien.sorokin@mail.example.net,02/2026,2027-03-29,"$2,050.00","$1,990.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A229,983,2,1,MTM,"Engelhardt, Wilhelmina",wilhelmina.engelhardt@example.org,2024-03-02,2025-02-11,"$1,950.00","$1,895.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A230,"1,010",2,2,Occ,"Ishikawa, Ulrich",ulrich.ishikawa@mail.example.net,08/2024,2025-03-16,"$1,875.00","$1,845.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A301,680,1,1,Occupied,"Calderon, Delphine",delphine.calderon@example.com,2025-11-27,2026-12-24,"$1,480.00","$1,450.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A302,747,1,1,Occupied,"Haddad, Aurelio",aurelio.haddad@example.com,2025-01-13,2025-12-20,"$1,465.00","1,405.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A303,"1,220",3,2,Employee,"Broussard, Ilse",ilse.broussard@example.com,2024-03-07,2024-11-07,"2,375.00","$2,320.00"
GRN,Greenfield Commons,1400 Greenfield Road,A304,755,1,1,Notice,"Jelinek, Nadim","nadim.jelinek@example,com",2026-05-07,,"$1,550.00","$1,540.00"
GRN,Greenfield Commons Apartments,1400 Greenfield Rd,A305,"1,239",3,1.5,MTM,"Ubaldi, Aurelio",aurelio.ubaldi@example.com,2025-08-27,2026-04-02,"$2,255.00","$2,250.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A306,"1,014",2,1.5,Vacant-Ready,,,,,"$1,905.00",
GRN,Greenfield Commons,1400 Greenfield Rd,A307,"1,017",2,2,Occupied,"Eriksen, Marisol",marisol.eriksen@example.com,2025-11-29,2026-09-09,"$1,900.00","$1,880.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A308,"1,000",2,1,Occupied,"Yoshida, Priya",priya.yoshida@example.com,2024-04-08,2024-10-29,"$2,015.00","2,010.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A309,767,1,1,Occupied,"Sorokin, Elke",elke.sorokin@mail.example.net,2024-06-17,2025-04-06,"$1,415.00","1,365.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A310,778,1,1,Occupied,"Cisneros, Zora",zora.cisneros@example.com,2024-11-25,2025-07-28,"1,485.00","$1,485.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A311,981,2,1.5,Occupied,"Broussard, Lachlan",lachlan.broussard@mail.example.net,2024-03-02,2024-10-06,"$2,060.00","$2,025.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A312,771,1,1,Notice,"Oyelaran, Soren",soren.oyelaran@example.com,2025-05-19,2026-02-22,"1,660.00","$1,600.00"
GRN,Greenfield Commons,1400 Greenfield Road,A313,552,0,1,Occupied,"Quintero, Ottilie",ottilie.quintero@example.org,2026-06-20,2027-02-26,"$1,005.00",$965.00
GRN,Greenfield Commons,1400 Greenfield Rd,A314,734,1,1,Occ,"Yoshida, Casimir",casimir.yoshida@mail.example.net,2026-01-19,2026-08-30,"1,445.00","1,410.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A315,"1,298",3,1.5,Vacant,,,,,"$2,495.00",
GRN,Greenfield Commons,1400 Greenfield Rd,A316,727,1,1,Occupied,"Engelhardt, Bettina",bettina.engelhardt@example.com,2024-01-23,2024-12-10,"1,580.00","$1,515.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A316,727,1,1,Occupied,"Haddad, Clemence",clemence.haddad@example.com,2025-01-04,2025-09-30,"$1,580.00","$1,555.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A317,739,1,1,Occupied,"Dupont, Dario",dario.dupont@example.com,2025-09-12,2026-05-02,"$1,600.00","$1,580.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A318,718,1,1,Occupied,"Beaumont, Quentin",quentin.beaumont@example.com,2026-06-22,2027-06-15,"$1,585.00","$1,530.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A319,965,2,1.5,Occupied,"Villanueva, Clemence",clemence.villanueva@mail.example.net,2026-02-11,2027-03-05,"$1,930.00","1,920.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A319,965,2,1.5,Occupied,"Ashworth, Bettina",bettina.ashworth@example.com,02/2026,2027-03-05,"$1,930.00","$1,920.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A320,"1,016",2,1.5,Occ,"Fontaine, Lachlan",lachlan.fontaine@example.org,2026-04-25,2026-11-09,"2,020.00","$2,015.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A321,779,1,1,Occupied,"Sorokin, Soren",soren.sorokin@mail.example.net,2024-08-22,,"$1,495.00","$1,475.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A322,979,2,1.5,Occupied,"Jelinek, Ferran",ferran.jelinek@example.org,2024-03-07,,"$1,980.00","1,970.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A323,"1,031",2,2,Occupied,"Dupont, Ferran",ferran.dupont@example.org,2026-06-01,2027-03-09,"2,055.00","2,055.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A324,466,0,1,Occ,"Villanueva, Katrien",katrien.villanueva@example.com,2026-02-14,2026-09-01,$995.00,995.00
GRN,Greenfield Commons,1400 Greenfield Road,A325,756,1,1,VAC,,,,,"$1,435.00",
GRN,Greenfield Commons,1400 Greenfield Rd,A326,979,2,1.5,Occ,"Calderon, Bettina",bettina.calderon@mail.example.net,2024-11-29,2025-09-22,"$1,920.00","$1,875.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A327,808,1,1,Occupied,"Mwangi, Xavier",xavier.mwangi@example.org,2024-05-08,2025-05-05,"1,405.00","1,370.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A328,715,1,1,Occ,"Radulescu, Rosalind",rosalind.radulescu@example.org,2024-05-23,2024-12-31,"1,485.00","$1,460.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A329,"1,010",2,2,NTV,"Lindgren, Xavier",xavier.lindgren@mail.example.net,2025-03-11,2026-03-25,"$2,075.00","2,040.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A330,517,0,1,Occ,"Haddad, Hamza",hamza.haddad@example.com,2025-04-19,2026-03-25,"$1,225.00","$1,220.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A401,"1,331",3,1.5,NTV,"Villanueva, Lachlan",lachlan.villanueva@example.com,2024-08-07,2025-03-23,"$2,490.00","$2,480.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A402,,3,1,MTM,"Yoshida, Hamza",hamza.yoshida@example.org,2026-06-06,2027-04-09,"$2,380.00","2,320.00"
GRN,Greenfield Commons,1400 Greenfield Road,A403,741,1,1,Vacant,,,,,"1,570.00",
GRN,Greenfield Commons,1400 Greenfield Rd,A404,"1,317",3,1,Occupied,"Beaumont, Soren",soren.beaumont@example.com,2025-12-15,2027-01-07,"$2,375.00","$2,325.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A405,807,1,1,Occupied,"Beaumont, Elke",elke.beaumont@mail.example.net,2026-04-02,,"$1,455.00","1,440.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A406,998,2,2,Notice,"Oyelaran, Ottilie",ottilie.oyelaran@example.com,2025-06-15,2026-04-10,"2,075.00","2,040.00"
GRN,Greenfield Commons,1400 Greenfield Road,A407,799,1,1,Occupied,"Villanueva, Elke",elke.villanueva@example.com,2024-08-18,2025-07-31,"1,405.00","1,390.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A408,689,1,1,Occupied,"Beaumont, Aurelio",aurelio.beaumont@example.org,2026-04-19,2027-04-08,"$1,630.00","$1,590.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A409,816,1,1,Occupied,"Fontaine, Joaquin",joaquin.fontaine@example.com,2025-03-01,2025-09-13,"1,500.00","1,440.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A410,"1,070",2,1,Employee,"Cisneros, Clemence",clemence.cisneros@mail.example.net,2026-02-11,2026-08-30,"$1,885.00","$1,880.00"
GRN,Greenfield Commons Apartments,1400 Greenfield Road,A411,"1,340",3,1,Occ,"Ishikawa, Yannick",yannick.ishikawa@example.org,2025-07-13,2026-01-19,"2,285.00","2,275.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A412,701,1,1,Vacant,,,,,"$1,440.00",
GRN,Greenfield Commons,1400 Greenfield Rd,A413,696,1,1,NTV,"Haddad, Nadim",nadim.haddad@example.com,2024-03-26,2025-03-07,"1,400.00","$1,370.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A414,"1,075",2,2,VAC,"Radulescu, Clemence",,,,"$1,840.00",
GRN,Greenfield Commons,1400 Greenfield Rd,A415,964,2,1.5,Occupied,"Pemberton, Joaquin",joaquin.pemberton@example.com,2025-02-28,2025-09-26,"2,080.00","$2,065.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A416,"1,040",2,2,Occ,"Ferrante, Casimir",casimir.ferrante@mail.example.net,2025-06-12,2026-02-14,"2,065.00","$2,005.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A417,484,0,1,Occupied,"Cisneros, Katrien",katrien.cisneros@example.org,2025-06-04,2026-02-09,"1,155.00","$1,110.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A418,994,2,1,NTV,"Beaumont, Zora",zora.beaumont@mail.example.net,2025-05-16,2026-03-04,"$1,945.00","$1,945.00"
GRN,Greenfield Commons,1400 Greenfield Road,A418,,2,1,NTV,"Zambrano, Amara",amara.zambrano@example.com,2025-05-16,2026-03-04,"$1,945.00","1,945.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A419,"1,216",3,1,NTV,"Beaumont, Hamza",hamza.beaumont@example.com,2026-06-05,2027-03-10,"$2,490.00","$2,440.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A420,797,1,1,Occupied,"Yoshida, Nadim",nadim.yoshida@example.org,2026-05-07,,"1,490.00","1,480.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A421,421,0,1,MTM,"Nakamura, Clemence",clemence.nakamura@mail.example.net,2026-02-04,2026-12-15,"1,085.00","$1,060.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A422,771,1,1,Employee,"Engelhardt, Xavier",xavier.engelhardt@mail.example.net,2026-05-15,2026-12-01,"$1,535.00","$1,485.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A423,953,2,1,NTV,"Eriksen, Yannick",yannick.eriksen@example.com,01/2026,2026-07-27,"2,000.00","1,940.00"
GRN,Greenfield Commons Apartments,1400 Greenfield Road,A424,952,2,1.5,Occupied,"Mwangi, Casimir",casimir.mwangi@mail.example.net,2026-06-28,2027-05-07,"2,000.00","1,985.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A424,952,2,1.5,Occupied,"Wexler, Xavier",xavier.wexler@example.com,2026-09-21,2027-04-22,"$2,000.00","$2,010.00"
GRN,Greenfield Commons Apartments,1400 Greenfield Rd,A425,803,1,1,Occ,"Zambrano, Joaquin",joaquin.zambrano@mail.example.net,2024-10-04,,"1,405.00","1,355.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A426,685,1,1,Occupied,"Calderon, Rosalind",rosalind.calderon@example.com,2024-02-24,2024-08-26,"$1,505.00","1,455.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A427,"1,223",3,1,Vacant,,,,,"2,455.00",
GRN,Greenfield Commons,1400 Greenfield Rd,A428,426,0,1,Model,,,,,"1,135.00",
GRN,Greenfield Commons,1400 Greenfield Rd,A429,"1,231",3,1.5,MTM,"Tavares, Nadim",nadim.tavares@mail.example.net,2025-04-28,2025-11-24,"2,415.00","$2,395.00"
GRN,Greenfield Commons,1400 Greenfield Rd,A430,"1,288",3,2,Notice,"Wexler, Ilse",ilse.wexler@example.org,2026-05-17,2027-01-13,"2,240.00","$2,200.00"
GRN,Greenfield Commons,1400 Greenfield Rd,B101,941,2,2,Occupied,"Danquah, Hamza",hamza.danquah@example.org,2025-02-07,2025-12-31,"1,900.00","$1,840.00"
GRN,Greenfield Commons,1400 Greenfield Rd,B102,789,1,1,NTV,"Ferrante, Katrien",katrien.ferrante@example.com,2024-08-21,2025-08-04,"1,565.00","$1,530.00"
GRN,Greenfield Commons,1400 Greenfield Rd,B103,811,1,1,Occupied,"Dupont, Valentina",valentina.dupont@example.com,2025-06-28,2026-03-05,"1,455.00","1,395.00"
GRN,Greenfield Commons Apartments,1400 Greenfield Rd,B104,696,1,1,Occupied,"Radulescu, Bastien",bastien.radulescu@example.com,2025-01-11,2026-01-30,"$1,410.00","1,385.00"
GRN,Greenfield Commons,1400 Greenfield Rd,B105,724,1,1,Occupied,"Danquah, Lachlan",lachlan.danquah@example.org,2024-05-26,2025-04-20,"$1,650.00","1,630.00"
GRN,Greenfield Commons,1400 Greenfield Rd,B106,"1,292",3,2,Notice,"Broussard, Wilhelmina",wilhelmina.broussard@example.com,2024-03-03,2025-04-05,"$2,295.00","2,245.00"
GRN,Greenfield Commons,1400 Greenfield Rd,B107,810,1,1,Notice,"Ishikawa, Clemence",clemence.ishikawa@mail.example.net,2024-10-15,2025-09-29,"$1,490.00","$1,460.00"
GRN,Greenfield Commons,1400 Greenfield Rd,B107,810,1,1,Notice,"Jelinek, Rosalind",rosalind.jelinek@example.com,2024-10-15,2025-09-29,"$1,490.00","$1,460.00"
GRN,Greenfield Commons,1400 Greenfield Rd,B108,"1,011",2,1,Notice,"Tavares, Bettina",bettina.tavares@example.com,2026-06-26,,"$1,825.00","$1,765.00"
GRN,Greenfield Commons,1400 Greenfield Rd,B109,787,1,1,Occupied,"Mwangi, Quentin",quentin.mwangi@example.com,2024-10-17,2025-08-07,"$1,435.00","$1,425.00"
GRN,Greenfield Commons,1400 Greenfield Rd,B109,787,1,1,Occupied,"Tavares, Yannick",yannick.tavares@mail.example.net,2024-10-17,2025-08-07,"1,435.00","1,425.00"
GRN,Greenfield Commons,1400 Greenfield Rd,B110,809,1,1,Occupied,"Zambrano, Quentin",quentin.zambrano@mail.example.net,2026-05-22,2027-06-07,"1,545.00","$1,485.00"
GRN,Greenfield Commons,1400 Greenfield Rd,B111,"1,200",3,2,Occupied,"Jelinek, Rosalind",rosalind.jelinek@example.org,2026-02-02,2026-09-06,"$2,325.00","$2,265.00"
GRN,Greenfield Commons,1400 Greenfield Road,B112,723,1,1,Occupied,"Danquah, Dario",dario.danquah@example.org,2023-09-13,2024-09-15,"$1,580.00","1,515.00"
GRN,Greenfield Commons,1400 Greenfield Rd,B112,723,1,1,MTM,"Haddad, Marisol",marisol.haddad@example.com,2024-10-23,2025-06-17,"$1,580.00","$1,555.00"
GRN,Greenfield Commons,1400 Greenfield Rd,B113,486,0,1,Occupied,"Sorokin, Joaquin","joaquin.sorokin@example,com",2025-07-19,2026-04-11,"$1,150.00","$1,130.00"
GRN,Greenfield Commons,1400 Greenfield Rd,B114,698,1,1,Occupied,"Quintero, Xavier",xavier.quintero@example.com,2023-04-23,2024-05-27,"1,475.00","$1,385.00"
GRN,Greenfield Commons,1400 Greenfield Rd,B114,698,1,1,Occ,"Engelhardt, Zora",zora.engelhardt@example.com,2024-07-03,2025-01-30,"$1,475.00","$1,425.00"
