Policy Number,Trans Code,Trans Date,Policy Eff Date,Policy Exp Date,LOB Code,Policy Holder Name,Carrier,Bill Type,Premium,Comm Percent,Comm Amount,Producer Code
NS-680989,New Business,2023-05-15,2023-05-20,2024-05-19,HO3,"Castellanos, Priya",Northgate Specialty,Direct,3006.25,12,360.75,TRW-08
NS-244706,NEW,2023-05-16,2023-05-17,2023-11-15,HO3,Marguerite Petrakis,Northgate Specialty,AB,$964.29,10,$96.43,TRW-08
VN158776131,N/B,2023-05-17,2023-05-25,2024-05-24,Personal Auto,Rutger Lindgren,Valebrook National,Direct,1117.98,12.5,139.75,GBY-22
NS-480218,END,2023-05-21,05/18/2023,,Umbrella,"Calloway Haulage, LLC",Northgate Specialty Lines,DIRECT BILL,-269.73,12.5,-33.72,MCL-01
KC6081013,N/B,2023-05-21,2023-05-26,2024-05-25,CAUTO,"Rennick Roofing, LLC",Kemwood,Direct Bill,"$7,768.75",17.5,1359.53,HFN-04
AM-67514496,NBS,2023-05-22,2023-06-02,06/01/2024,Commercial Auto,"Standish Haulage, Co",Ardsley Mutual,Agency Bill,35686.04,15,"$5,352.91",GBY-22
AM-26316568,New Business,2023-05-23,2023-06-08,2024-06-07,PAUTO,Freya Falkenrath,Ardsley Mutual,Agency,2240.79,,268.89,GBY-06
AM-56702560,New Business,2023-05-23,2023-05-27,2024-05-26,Work Comp,"Ferraro Roofing, Inc",Ardsley Mutual,Direct,"$66,865.86",0.15,10029.88,MCL-15
KC2365092,N/B,2023-05-26,06/07/2023,2024-06-06,CAUTO,"Wexler Printing, Inc",Kemwood Casualty,A,"$49,519.90",15,7427.99,TRW-08
KC4781119,PCH,2023-05-27,2023-05-18,2024-02-07,PAUTO,Emeric Guerrero,Kemwood,D,$355.89,0.15,53.38,TRW-08
SFM91505738,END,2023-05-27,2023-05-25,2023-08-25,Homeowners,Josefa Bhattacharya,Stanwick Fire & Marine,D,-$317.37,10,-$31.74,HFN-04
NS-781273,NBS,2023-05-29,2023-06-05,06/04/2024,Umbrella,Renfro Contracting,NORTHGATE SPEC,D,"$73,613.66",0.1,7361.37,MCL-15
PI-2897748,NEW,2023-05-30,2023-06-08,2024-06-07,BAUTO,"Marchetti Foundry, LLC",Pelham Indemnity,Agency,40667.75,15,"$6,100.16",HFN-04
AM-46204926,New Business,2023-05-31,2023-06-05,2023-12-04,PAUTO,"Vasquez, Josefa",ardsley mutual,DB,"1,986.66",15,298.00,TRW-02
KC1101453,N/B,2023-06-03,2023-06-13,2024-06-12,Personal Auto,Emeric Adeyemi,Kemwood Casualty Co,Direct,"1,512.76",17.5%,264.73,MCL-15
KC9864090,New Business,2023-06-03,2023-06-10,2024-06-09,Comm Auto,"Delacroix Auto Body, LLC",Kemwood,DB,58950.07,15,8842.51,HFN-11
AM-05462841,New Business,2023-06-03,2023-06-14,2024-06-13,Comm Auto,"Petrossian Foundry, LLC",Ardsley Mutual,Direct,"$41,658.47",17.5,7290.23,MCL-01
SFM60462661,New Business,2023-06-03,2023-06-03,2024-06-02,PAUTO,"Castellanos, Amara",STANWICK F&M,D,2384.8,12,286.18,TRW-08
AM-99327016,NBS,2023-06-04,2023-06-12,2024-06-11,Commercial Property,"Delacroix Bakery, Corp",ardsley mutual,DB,22226.19,15,3333.93,
SFM66063802,NBS,2023-06-04,2023-06-13,2023-12-12,Homeowners,Beatriz Sturgeon,Stanwick F & M,Agency Bill,"2,432.71",15,364.91,MCL-15
VN520367901,NBS,2023-06-04,2023-06-10,12/09/2023,HOME,"Lindgren, Noor",VALEBROOK NATL,D,1469.27,12.5,$183.66,GBY-06
KC4293649,NBS,2023-06-06,2023-06-15,2024-06-14,GL,"Rennick Freight, Inc",Kemwood Casualty Co,A,"$27,629.31",17.5,4835.13,HFN-04
SFM25420792,NBS,2023-06-07,2023-06-23,2023-12-22,HOME,Priya Wojcik,Stanwick F & M,AGENCY BILL,"$3,648.69",0.15,547.3,TRW-02
SFM54635331,N/B,2023-06-07,2023-06-09,2024-06-08,PPA,Adaeze Sandoval,Stanwick Fire & Marine,D,2553.15,.12,306.38,HFN-04
NS-034452,New Business,2023-06-08,2023-06-16,2023-12-15,PAUTO,"Wojcik, Terrence",Northgate Specialty Lines,D,"1,295.42",15,$194.31,HFN-04
NS-066294,NBS,2023-06-10,2023-06-23,2024-06-22,Homeowners,Freya Aldridge,Northgate Specialty,AB,1713.71,15,$257.06,
PI-9064826,END,2023-06-10,06/03/2023,2023-09-18,Homeowners,Noor Sandoval,Pelham Ind.,Direct,160.41,12,19.25,HFN-11
KC9717634,N/B,2023-06-11,2023-06-26,2024-06-25,BAUTO,Ashby Printing,Kemwood Casualty,Agency Bill,73151.81,15,"$10,972.77",HFN-11
SFM59317951,NBS,2023-06-14,06/16/2023,2024-06-15,Umbrella,,Stanwick Fire & Marine,A,48544.35,15,"7,281.65",HFN-11
SFM26542511,Policy Change,2023-06-23,06/17/2023,,CAUTO,"Arbogast Foundry, Inc",Stanwick F & M,A,"-$3,130.60",15,-469.59,GBY-06
SFM50656924,NBS,2023-06-23,07/02/2023,2024-07-01,CPROP,Kessler Fabrication,STANWICK F&M,DB,73671.35,,11050.7,TRW-02
SFM49207377,NBS,2023-06-24,2023-07-10,2024-07-09,HOME,Bartholomew Novotny,Stanwick Fire & Marine,DB,"$1,507.54",12.5,188.44,
KC6939000,New Business,2023-06-25,2023-07-06,2024-07-05,CGL,"Ashby Contracting, LLC",Kemwood Casualty,Agency,60394.19,20,12078.84,HFN-11
AM-22493265,PCH,2023-06-26,2023-06-18,,BAUTO,"Calloway Fabrication, Ltd",Ardsley Mutual,DB,-$289.00,.15,-43.35,MCL-01
KC9224324,N/B,2023-06-27,2023-07-07,2024-07-06,CPROP,"Halvorsen Plumbing & Heating, LLC",Kemwood Casualty,AB,"$20,648.06",20,4129.61,TRW-02
KC8698245,NBS,2023-06-27,2023-06-28,2024-06-27,CPROP,Halvorsen Cabinetry,KEMWOOD CAS,AB,62526.89,15,"$9,379.03",HFN-11
NS-327166,New Business,2023-06-28,2023-06-28,2024-06-27,GL,Tolliver Machine Works,Northgate Specialty Lines,Agency,"33,200.13",17.5,"$5,810.02",TRW-02
SFM26542511,PCH,2023-06-30,2023-06-24,2024-02-19,Auto,"Arbogast Foundry, Inc",Stanwick F & M,Agency Bill,3837.72,15,575.66,GBY-06
VN415713182,PCH,2023-07-02,2023-07-01,2024-04-20,GL,"Wexler Freight, LLC",Valebrook,A,-3984.73,15,-597.71,TRW-02
SFM76988811,Policy Change,2023-07-03,2023-06-29,2024-04-18,Workers Comp,BOYNE MACHINE WORKS LLC,STANWICK F&M,AB,-99.34,12%,-$11.92,
KC6862016,NBS,2023-07-04,2023-07-09,2024-07-08,CAUTO,"Lindqvist Electrical, Co",Kemwood,DB,"41,965.31",17.5,7343.93,HFN-04
AM-75109662,RWL,2023-07-05,2023-07-14,2024-01-12,HOME,Freya Mercier,ARDSLEY MUTUAL INS CO,Direct Bill,1294.69,15,194.2,MCL-15
NS-146730,END,2023-07-05,2023-07-01,2024-02-17,CPROP,"Boyne Auto Body, Inc",Northgate Specialty,AGENCY BILL,9771.71,20,"$1,954.34",GBY-22
AM-34421217,New Business,2023-07-07,07/10/2023,2024-07-09,PROP,"Halvorsen Landscaping, LLC",ardsley mutual,D,13807.1,15,2071.07,GBY-06
AM-80481190,Policy Change,2023-07-07,2023-07-04,,Work Comp,"Rennick Millwork, LLC",Ardsley Mutual,AB,"3,268.57",10,326.86,MCL-01
AM-20380804,New Business,2023-07-08,2023-07-17,2024-07-16,CPROP,"Boyne Landscaping, Inc",Ardsley Mutual,A,47318.22,12,"5,678.19",GBY-22
AM-99327016,PCH,2023-07-08,2023-07-01,,Commercial Property,"Delacroix Bakery, Corp",Ardsley Mutual Insurance Company,DIRECT BILL,"$3,350.12",15,502.52,HFN-11
AM-76406752,NEW,2023-07-09,2023-07-27,2024-07-26,Work Comp,"Marchetti Fabrication, Ltd",Ardsley Mutual,Agency Bill,"67,785.59",10,"$6,778.56",TRW-08
PI-3758326,NBS,2023-07-12,2023-07-21,2024-07-20,Workers Comp,"Delacroix Cold Storage, Ltd",Pelham Indemnity,D,49317.95,0.2,9863.59,TRW-02
NS-034452,END,2023-07-14,07/10/2023,2023-12-15,PAUTO,"Wojcik, Terrence",NORTHGATE SPEC,Direct Bill,$154.68,0.15,23.20,HFN-04
NS-284475,New Business,2023-07-17,2023-07-22,2024-07-21,UMB,"Underhill Freight, LLC",NORTHGATE SPEC,D,25756.63,12,"3,090.80",HFN-11
KC9522547,Cancellation,2023-07-17,2023-07-16,,Personal Auto,Malachy Aldridge,Kemwood,D,-440.19,0.175,-77.03,HFN-04
NS-407380,N/B,2023-07-19,2023-07-24,2024-07-23,Comm Auto,Boyne Excavating,Northgate Specialty Lines,AB,67637.42,0.15,10145.61,GBY-22
VN181600788,N/B,2023-07-20,07/27/2023,2024-07-26,CGL,Bramble Roofing,VALEBROOK NATL,D,"59,810.39",20,11962.08,TRW-02
KC8695089,endorsement,2023-07-20,2023-07-19,2024-01-19,Work Comp,"Rennick Excavating, Corp",Kemwood Casualty,Agency Bill,-4317.1,12.5,-539.64,HFN-11
NS-362862,PCH,2023-07-20,2023-07-20,,PPA,"Okonkwo, Noor",Northgate Specialty,D,$390.98,.15,58.65,TRW-02
SFM75616804,NEW,2023-07-21,2023-07-31,07/30/2024,CGL,"Bramble Bakery, Inc",STANWICK F&M,D,"72,992.65",0.2,"14,598.53",HFN-04
VN748286122,NBS,2023-07-22,07/29/2023,2024-07-28,Commercial Auto,Delacroix Millwork,Valebrook National,Agency Bill,24597.82,12,2951.74,
SFM43950006,New Business,2023-07-23,08/05/2023,2024-08-04,CGL,"Whitcomb Printing, Corp",Stanwick F & M,D,"43,458.56",0.15,6518.78,GBY-22
SFM17357901,NEW,2023-07-23,2023-07-27,2024-07-26,HOME,Adaeze Castellanos,Stanwick Fire & Marine,AB,2852.92,,356.62,GBY-06
KC5488737,NBS,2023-07-24,2023-08-08,08/07/2024,Comm Prop,"Boyne Millwork, LLC",KEMWOOD CAS,AB,12026.8,12,1443.22,HFN-11
NS-066294,PCH,2023-07-25,2023-07-25,2024-06-22,HO,Freya Aldridge,Northgate Specialty Lines,A,-143.28,15,-$21.49,GBY-06
NS-067119,New Business,2023-07-25,2023-07-29,2024-07-28,PROP,"Marchetti Millwork, Corp",NORTHGATE SPEC,A,"$6,470.47",20,1294.09,
VN853711097,Policy Change,2023-07-25,2023-07-24,,General Liability,Ostrander Dairy,VALEBROOK NATL,DB,1813.58,0.15,272.04,HFN-11
SFM76988811,XLC,2023-07-26,2023-07-24,,WC,"Boyne Machine Works, LLC",Stanwick Fire and Marine,Agency Bill,-1412.24,12,-169.47,HFN-04
NS-456996,NBS,2023-07-26,2023-07-29,2024-07-28,GL,"Nyquist Cold Storage, LLC",Northgate Specialty,AB,50089,20,"$10,017.80",GBY-06
NS-075585,New Business,2023-07-26,2023-08-07,2024-08-06,WORK,"Boyne Plumbing & Heating, Co",NORTHGATE SPEC,D,"$14,991.65",12,"$1,799.00",HFN-11
PI-8256995,NBS,2023-07-27,2023-07-30,2024-07-29,PROP,"Ashby Fabrication, LLC",PELHAM IND,DB,29016.91,15,4352.54,TRW-02
SFM97075609,Policy Change,2023-07-30,07/25/2023,,PAUTO,Rutger Thorne,Stanwick Fire and Marine,A,126.88,17.5,22.2,MCL-01
SFM87035822,N/B,2023-07-31,2023-07-31,2024-07-30,CGL,"Marchetti Electrical, Ltd",Stanwick Fire and Marine,D,17066.06,,"$3,413.21",MCL-15
NS-559240,NBS,2023-07-31,08/18/2023,2024-08-17,BAUTO,"Fairweather Auto Body, Corp",Northgate Specialty Lines,A,60642.1,17.5%,"$10,612.37",TRW-08
KC5748540,New Business,2023-07-31,2023-07-31,2024-07-30,PPA,Terrence Aldridge,Kemwood Casualty Co,DB,665.74,0.15,99.86,MCL-01
KC0950613,New Business,2023-08-02,08/06/2023,08/05/2024,CPROP,"Boyne Cabinetry, LLC",Kemwood Casualty,Agency Bill,"73,044.99",12.5,9130.62,GBY-06
SFM48759709,NBS,2023-08-02,2023-08-06,2024-08-05,GL,"Tolliver Excavating, Inc",Stanwick Fire & Marine,Direct Bill,9829.22,12,"$1,179.51",HFN-04
VN520367901,Endorsement,2023-08-02,2023-07-27,2023-12-09,Homeowners,Noor Lindgren,Valebrook National,Direct Bill,-226.86,.125,-28.36,GBY-06
